器材,类型,消耗系数,说明
杠铃深蹲,力量,0.09,大腿/臀部
史密斯深蹲,力量,0.085,大腿/臀部
保加利亚深蹲,力量,0.1,单腿/臀部
高脚杯深蹲,力量,0.09,大腿/核心
前蹲,力量,0.095,大腿/核心
硬拉,力量,0.1,全身/背部
罗马尼亚硬拉,力量,0.09,大腿后侧/臀
单腿硬拉,力量,0.095,平衡/臀腿
卧推,力量,0.07,胸部
上斜卧推,力量,0.07,上胸
下斜卧推,力量,0.07,下胸
哑铃卧推,力量,0.07,胸部
飞鸟,力量,0.06,胸部
俯身划船,力量,0.07,背部
杠铃划船,力量,0.07,背部
单臂划船,力量,0.07,背部
坐姿划船,力量,0.06,背部
引体向上,力量,0.1,背部/二头
高位下拉,力量,0.07,背部
过头推举,力量,0.08,肩部
哑铃推举,力量,0.08,肩部
侧平举,力量,0.05,肩部中束
前平举,力量,0.05,肩部前束
俯身飞鸟,力量,0.05,肩部后束
二头弯举,力量,0.05,肱二头肌
锤式弯举,力量,0.05,肱二头肌
集中弯举,力量,0.05,肱二头肌
三头下压,力量,0.05,肱三头肌
过头三头伸展,力量,0.05,肱三头肌
俯身臂屈伸,力量,0.05,肱三头肌
仰卧臂屈伸,力量,0.05,肱三头肌
卷腹,核心,0.06,腹直肌
仰卧起坐,核心,0.06,腹部
举腿,核心,0.06,下腹
俄罗斯转体,核心,0.06,腹斜肌
平板支撑,核心,0.05,核心稳定性
侧平板支撑,核心,0.05,腹斜肌
登山者,核心,0.1,核心+有氧
俯卧撑,自重,0.08,胸部
窄距俯卧撑,自重,0.08,三头
宽距俯卧撑,自重,0.08,胸部
钻石俯卧撑,自重,0.08,三头
上斜俯卧撑,自重,0.07,下胸
下斜俯卧撑,自重,0.09,上胸
深蹲,自重,0.08,大腿
跳跃深蹲,自重,0.12,爆发力
弓箭步,自重,0.08,腿/臀
反向弓箭步,自重,0.08,腿/臀
侧弓箭步,自重,0.08,大腿内侧
臀桥,自重,0.05,臀部
单腿臀桥,自重,0.06,臀部
保加利亚分腿蹲,自重,0.1,单腿
波比跳,高强度,0.18,全身
开合跳,有氧,0.12,热身
高抬腿,有氧,0.13,有氧
后踢腿,有氧,0.11,有氧
深蹲跳,力量,0.12,爆发力
弓步跳,力量,0.12,爆发力
跑步机,有氧,0.12,有氧
椭圆机,有氧,0.1,有氧
动感单车,有氧,0.11,有氧
划船机,有氧,0.13,全身
登山机,有氧,0.14,有氧
踏步机,有氧,0.09,有氧
健身车,有氧,0.08,有氧
滑雪机,有氧,0.14,全身
爬楼机,有氧,0.13,腿部
跳绳,有氧,0.15,有氧
战绳,高强度,0.16,爆发力
腿举机,器械,0.07,大腿
腿屈伸机,器械,0.05,股四头
腿弯举机,器械,0.05,股二头
坐姿推胸机,器械,0.06,胸部
坐姿划船机,器械,0.06,背部
高位下拉机,器械,0.06,背部
坐姿推肩机,器械,0.06,肩部
二头弯举机,器械,0.05,二头
三头下压机,器械,0.05,三头
腹肌板,器械,0.06,腹部
龙门架,器械,0.06,多功能
史密斯机,器械,0.08,多功能
哑铃,自由重量,0.06,通用
杠铃,自由重量,0.07,通用
壶铃,自由重量,0.1,爆发力
药球,自由重量,0.08,核心
沙袋,自由重量,0.09,格斗
瑜伽,柔韧,0.05,放松
普拉提,柔韧,0.05,核心
拉伸,柔韧,0.03,恢复
泡沫轴,恢复,0.02,放松
健腹轮,核心,0.08,腹部
弹力带,力量,0.05,拉伸
TRX,力量,0.08,全身
爬行,自重,0.1,动物流
